"","X","station","variable","method","coefficient","p","df","lon","lat","season","var","significance","data","country"
"1",547,3,"avg_temp.ANN","Bias",0.00399322295429211,NA,NA,130.4,42.3167,"ANN","avg_temp",NA,"CRU","gts"
"12204",1447,3,"avg_temp.DJF","Bias",-0.355489709630053,NA,NA,130.4,42.3167,"DJF","avg_temp",NA,"ERA5","gts"
"13574",3429,3,"avg_temp.JJA","Bias",-0.489415539826302,NA,NA,130.4,42.3167,"JJA","avg_temp",NA,"JRA55","gts"
"16264",247,3,"avg_temp.MAM","Bias",0.0794117825600368,NA,NA,130.4,42.3167,"MAM","avg_temp",NA,"CRU","gts"
"16284",4427,3,"avg_temp.SON","Bias",-0.290988759536702,NA,NA,130.4,42.3167,"SON","avg_temp",NA,"CRU","gts"
"13599",5918,3,"pre.ANN","Bias",-0.365164886949478,NA,NA,130.4,42.3167,"ANN","pre",NA,"JRA55","gts"
"14909",1930,3,"pre.DJF","Bias",-0.11781609038099,NA,NA,130.4,42.3167,"DJF","pre",NA,"NCEP2","gts"
"13579",3918,3,"pre.JJA","Bias",0.122970410381235,NA,NA,130.4,42.3167,"JJA","pre",NA,"JRA55","gts"
"14919",2950,3,"pre.MAM","Bias",-0.242356592356025,NA,NA,130.4,42.3167,"MAM","pre",NA,"NCEP2","gts"
"14939",4920,3,"pre.SON","Bias",-0.24495953157214,NA,NA,130.4,42.3167,"SON","pre",NA,"NCEP2","gts"
"16344",11412,5,"avg_temp.ANN","Bias",0.878899332522804,NA,NA,128.3167,41.8167,"ANN","avg_temp",NA,"CRU","gts"
"12254",7416,5,"avg_temp.DJF","Bias",1.85181545431545,NA,NA,128.3167,41.8167,"DJF","avg_temp",NA,"ERA5","gts"
"14974",9420,5,"avg_temp.JJA","Bias",0.236705282729751,NA,NA,128.3167,41.8167,"JJA","avg_temp",NA,"NCEP2","gts"
"16314",847,5,"avg_temp.MAM","Bias",0.334754627032927,NA,NA,128.3167,41.8167,"MAM","avg_temp",NA,"CRU","gts"
"16334",10427,5,"avg_temp.SON","Bias",0.917269033394765,NA,NA,128.3167,41.8167,"SON","avg_temp",NA,"CRU","gts"
"13649",11918,5,"pre.ANN","Bias",-0.0366394028134449,NA,NA,128.3167,41.8167,"ANN","pre",NA,"JRA55","gts"
"14959",7920,5,"pre.DJF","Bias",0.055618266631329,NA,NA,128.3167,41.8167,"DJF","pre",NA,"NCEP2","gts"
"16329",9927,5,"pre.JJA","Bias",-0.29955224968443,NA,NA,128.3167,41.8167,"JJA","pre",NA,"CRU","gts"
"16319",8927,5,"pre.MAM","Bias",-0.139396892286472,NA,NA,128.3167,41.8167,"MAM","pre",NA,"CRU","gts"
"13639",10918,5,"pre.SON","Bias",0.0185273599508603,NA,NA,128.3167,41.8167,"SON","pre",NA,"JRA55","gts"
"12344",1748,8,"avg_temp.ANN","Bias",-0.200316050280503,NA,NA,129.8167,41.7833,"ANN","avg_temp",NA,"ERA5","gts"
"12304",13416,8,"avg_temp.DJF","Bias",-0.148106303828936,NA,NA,129.8167,41.7833,"DJF","avg_temp",NA,"ERA5","gts"
"15024",15420,8,"avg_temp.JJA","Bias",0.0120387192994336,NA,NA,129.8167,41.7833,"JJA","avg_temp",NA,"NCEP2","gts"
"13664",14410,8,"avg_temp.MAM","Bias",0.222765897064268,NA,NA,129.8167,41.7833,"MAM","avg_temp",NA,"JRA55","gts"
"12334",16416,8,"avg_temp.SON","Bias",-0.18458586437567,NA,NA,129.8167,41.7833,"SON","avg_temp",NA,"ERA5","gts"
"16399",17919,8,"pre.ANN","Bias",-0.0608837492640033,NA,NA,129.8167,41.7833,"ANN","pre",NA,"CRU","gts"
"16359",13927,8,"pre.DJF","Bias",0.0431741184589891,NA,NA,129.8167,41.7833,"DJF","pre",NA,"CRU","gts"
"16379",15927,8,"pre.JJA","Bias",-0.0657958199707821,NA,NA,129.8167,41.7833,"JJA","pre",NA,"CRU","gts"
"13669",14918,8,"pre.MAM","Bias",-0.183272613586761,NA,NA,129.8167,41.7833,"MAM","pre",NA,"JRA55","gts"
"13689",16917,8,"pre.SON","Bias",0.20562580770716,NA,NA,129.8167,41.7833,"SON","pre",NA,"JRA55","gts"
