"","station","s_date","e_date","name","address","md","lat","lon","alt","check"
"1",90,"1968-01-01","","속초","강원도 고성군토성면 봉포5길9 속초자동기상관측소 ","속초기상대(90)",38.2509,128.5647,17.53,"Yes"
"7",100,"2006-11-07","","대관령","강원도 평창군대관령면 경강로5372 대관령자동기상관측소 ","대관령기상대(100)",37.6771,128.7183,772.43,"Yes"
"9",101,"1966-01-01","","춘천","강원도 춘천시충열로 91번길12 춘천자동기상관측소 ","춘천기상대(101)",37.9026,127.7357,75.82,"Yes"
"13",105,"1911-10-03","","강릉","강원도 강릉시용강동 63-20강릉자동기상관측소  ","강릉(구 105)",37.7515,128.891,27.12,"Yes"
"15",108,"2010-08-16","","서울","서울특별시 종로구송월길 52서울기상관측소  ","서울기상관측소(108)",37.5714,126.9658,85.67,"Yes"
"17",112,"2013-10-22","","인천","인천광역시 중구전동 25번지인천기상대  ","인천기상대(112)",37.4777,126.6249,68.99,"Yes"
"19",114,"1971-09-06","","원주","강원도 원주시단구로 159원주자동기상관측소  ","원주기상대(114)",37.3375,127.9466,150.11,"Yes"
"20",115,"1938-08-10","","울릉도","경상북도 울릉군울릉읍 무릉길227-75 울릉도관측소 ","울릉도기상대(115)",37.4813,130.8986,221.14,"Yes"
"22",119,"2019-07-24","","수원","경기도 수원시권선구 권선로276  ","",37.2575,126.983,39.81,"Yes"
"25",127,"1972-01-01","","충주","충청북도 충주시안림로 55(안림동 521-5번지) ","청주기상대(131)",36.9705,127.9525,114.85,"Yes"
"26",129,"1968-01-01","","서산","충청남도 서산시수석1길 124-1  ","홍성기상대(서산 129)",36.7766,126.4939,25.25,"Yes"
"27",130,"2020-12-04","","울진","경상북도 울진군울진읍 현내항길157 울진지역기상서비스센터 ","안동기상대(136)",36.9918,129.4128,48.98,"Yes"
"29",131,"1967-01-01","","청주","충청북도 청주시흥덕구 공단로76 청주기상지청 ","청주기상대(131)",36.6392,127.4407,58.7,"Yes"
"30",133,"1969-01-01","","대전","대전광역시 유성구대학로 383(대전광역시 유성구 구성동22)","대전지방기상청(133)",36.372,127.3721,70.22,"Yes"
"31",135,"1937-01-11","","추풍령","충청북도 영동군추풍령면 관리길25-15 추풍령지역기상서비스센터 ","청주기상대(131)",36.2203,127.9946,244.98,"Yes"
"32",136,"1983-01-01","","안동","경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ","안동기상대(136)",36.5729,128.7073,141.26,"Yes"
"35",138,"1943-01-01","","포항","경상북도 포항시남구 송도로70 포항관측소 ","포항기상대(138)",36.032,129.38,3.94,"Yes"
"36",140,"2003-12-31","","군산","전라북도 군산시내흥동 425-10호군산지역기상서비스센터  ","전주기상대(146)",36.0053,126.7614,27.85,"Yes"
"38",143,"2017-08-25","","대구","대구광역시 동구 효동로2길 10대구지방기상청 (효목동)","대구(구 143)",35.878,128.653,54.27,"Yes"
"40",146,"2015-07-01","","전주","전라북도 전주시덕진구 상가마을길25 전주기상지청 ","전주기상대(146)",35.8409,127.1172,60.44,"Yes"
"42",152,"2017-08-25","","울산","울산광역시 중구달빛로 65-26(약사동)울산기상대  ","울산기상대(152)",35.5824,129.3347,81.14,"Yes"
"48",156,"1939-05-01","","광주","광주광역시 북구 서암대로 71광주지방기상청 (운암동)","광주지방기상청(156)",35.1729,126.8916,70.28,"Yes"
"49",159,"1904-04-09","","부산","부산광역시 중구복병산길 32번길 5-11 부산기상관측소 (대청동1가)","부산지방기상청(159)",35.1047,129.032,69.56,"Yes"
"50",162,"1968-01-01","","통영","경상남도 통영시망일1길 67통영지역기상서비스센터  ","부산지방기상청(159)",34.8454,128.4356,31.24,"Yes"
"52",165,"2019-10-31","","목포","전라남도 목포시연산동 726-3번지목포기상대  ","목포기상대(165)",34.8173,126.3815,44.7,"Yes"
"54",168,"1942-03-01","","여수","전라남도 여수시고소동 304  ","여수기상대(168)",34.7393,127.7406,65.93,"Yes"
"56",170,"1971-01-31","","완도","전라남도 완도군군외면 청해진로795-3 (불목리 26)","목포기상대(165)",34.3959,126.7018,35.37,"Yes"
"63",184,"1923-05-01","","제주","제주특별자치도 제주시동문로 9길43843 제주지방기상청 ","제주지방기상청(184)",33.5141,126.5297,20.79,"Yes"
"66",188,"2008-09-04","","성산","제주특별자치도 서귀포시성산읍 신난로11 성산레이더관측소 ","제주지방기상청(184)",33.3868,126.8802,20.34,"Yes"
"68",189,"2010-11-09","","서귀포","제주특별자치도 서귀포시태평로 439번길17 서귀포관측소 ","제주지방기상청(184)",33.2462,126.5653,51.86,"Yes"
"70",192,"2005-11-23","","진주","경상남도 진주시남강로 43진주지역기상서비스센터  ","창원기상대(155)",35.1638,128.04,29.35,"Yes"
"72",201,"1972-01-11","","강화","인천광역시 강화군불은면 삼성리811-1 강화기상관측소 ","인천기상대(112)",37.7074,126.4463,47.84,"Yes"
"73",202,"1972-01-11","","양평","경기도 양평군 양평읍 시민로20번길 14-1양평자동기상관측소20번길 43844 양평자동기상관측소","수도권기상청(119)",37.4886,127.4945,47.26,"Yes"
